centroid_group,count_listings,count_licenses,license_dict,status_dict,license_exceed_type,ISD_adress_dict,host,host_id,alias_dict,shared_license,avg_USD/night,mean_latitude,mean_longitude,GCODE_office,GCODE_house_number,GCODE_road,GCODE_neighbourhood,GCODE_suburb,GCODE_city,GCODE_county,GCODE_state,GCODE_postcode,GCODE_country,GCODE_country_code,GCODE_building,GCODE_hamlet,GCODE_quarter,GCODE_tourism,GCODE_square,GCODE_shop,GCODE_commercial,GCODE_amenity,GCODE_man_made,GCODE_residential,GCODE_railway,GCODE_historic,GCODE_leisure,GCODE_city_block,GCODE_town,GCODE_natural,GCODE_aeroway,GCODE_military,GCODE_retail,GCODE_place,confidence,max_listing_distance,avg_listing_distance,std_listing_distance,ISD_found
0-669s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Sonder,CorpGroup5,{'224829568.0': 1},False,176.0,42.35691,-71.05298,,76,Batterymarch Street,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-145s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Blueground,CorpGroup3,{'107434423.0': 1},False,134.0,42.34425,-71.09576,,5,Peterborough Street,Audubon Square,Back Bay,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-910s,1,1,{'101724': 1},{'Not found (fabricated)': 1},,{'284 Cambridge ST 05 1 Boston MA 02114': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,107.0,42.34905,-71.06966,,121-127,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,Eugene T. Zanni Square,,,Arlington Street Lot,,,,,,,,,,,,,unknown (too few),,,,True
0-257s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Shahnaz,248657295,{'nan': 1},False,75.0,42.3125,-71.05556,,75,Savin Hill Avenue,Savin Hill,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-675s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Shahnaz,248657295,{'nan': 1},False,89.0,42.31222,-71.0557,,75,Savin Hill Avenue,Savin Hill,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-805s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,171.0,42.34666,-71.07851,,110,Huntington Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,Boston Marriott Copley Place,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-457s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Turana,218525774,{'nan': 1},False,35.0,42.34989,-71.13501,,4,Price Road,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-169s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Blueground,CorpGroup3,{'107434423.0': 1},False,180.0,42.34364,-71.09697,,46,Peterborough Street,Audubon Square,Back Bay,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-458s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Steven,CorpGroup17,{'275849638.0': 1},False,218.0,42.36292,-71.05301999999999,,,Langdon Place,Dock Square,North End,Boston,Suffolk County,Massachusetts,02113,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-670s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Steven,CorpGroup17,{'275849638.0': 1},False,374.0,42.35715,-71.05474,,,Oliver Street,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,,,,,,,,First Republic,,,,,,,,,,,,,unknown (too few),,,,False
3-65s,1,1,{'988180': 1},{'Not found (fabricated)': 1},,{'88 Alleghany ST 10 Mission Hill MA 02120': 1},Sonder,CorpGroup5,{'224829568.0': 1},False,373.43,42.35533,-71.06116999999999,,449,Washington Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-60s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,196.0,42.34782,-71.0835,,900,Boylston Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Block F,Hynes Convention Center,,,,,,,,,,,,,unknown (too few),,,,False
0-240s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,221.0,42.346470000000004,-71.07763,,110,Huntington Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,Boston Marriott Copley Place,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-459s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,221.0,42.34646,-71.07755999999999,,110,Huntington Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,Boston Marriott Copley Place,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-671s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,196.0,42.34659,-71.07915,,,Harcourt Street,,Back Bay,Boston,Suffolk County,Massachusetts,02199,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-5s,1,1,{'101724': 1},{'Not found (fabricated)': 1},,{'284 Cambridge ST 05 1 Boston MA 02114': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,130.0,42.34915,-71.06989,,121-127,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,Eugene T. Zanni Square,,,Arlington Street Lot,,,,,,,,,,,,,unknown (too few),,,,True
0-462s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jihane,CorpGroup39,{'293373619.0': 1},False,48.0,42.34251,-71.15373000000001,,138,Chestnut Hill Avenue,Aberdeen,Brighton,Boston,Suffolk County,Massachusetts,02135-3202,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-241s,1,1,{'Missing': 1},{'No license claimed': 1},,{},STARS,CorpGroup16,{'31340713.0': 1},False,131.0,42.35353,-71.08058,,266,Beacon Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-244s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Yuki,67637928,{'nan': 1},False,33.0,42.292,-71.06734,,6,Moultrie Street,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-66s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,126.0,42.34921,-71.06949,,128,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,Eugene T. Zanni Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-61s,1,1,{'Missing': 1},{'No license claimed': 1},,{},AAA Homestays,285904748,{'nan': 1},False,91.0,42.30833,-71.08703,,54,Sonoma Street,Grove Hall,Dorchester,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-242s,1,1,{'398049': 1},{'Active': 1},,{'68 Welles AVE 17 1 Dorchester MA 02124': 1},Eddie & Nayeli,102027626,{'nan': 1},False,180.0,42.28982,-71.06748,,67,Brent Street,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-243s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Henry,271849582,{'nan': 1},False,132.0,42.38057,-71.02713,,347,Princeton Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-3s,1,1,{'988180': 1},{'Not found (fabricated)': 1},,{'88 Alleghany ST 10 Mission Hill MA 02120': 1},Sonder,CorpGroup5,{'224829568.0': 1},False,392.0,42.35626,-71.06205,,47,Winter Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-672s,1,1,{'409169': 1},{'Expired/Void/Revoked': 1},,{},Henrique,292399041,{'nan': 1},False,500.0,42.30897,-71.06645999999999,,28,Clarkson Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-4s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,120.0,42.35223,-71.07127,,19,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Block A,,,,,,,,,,,,,,unknown (too few),,,,True
0-62s,1,1,{'414858': 1},{'Active': 1},,{'586 River ST 18 2 Mattapan MA 02126': 1},Glen,278520291,{'nan': 1},False,43.0,42.2672,-71.09621,,9,Marcy Road,,Hyde Park,Boston,Suffolk County,Massachusetts,02126,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-192s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Blueground,CorpGroup3,{'107434423.0': 1},False,202.0,42.35807,-71.05749,,,Washington Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02201,United States of America,us,One Devonshire Place,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-63s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Together We,CorpGroup12,{'260643536.0': 1},False,150.0,42.35026,-71.08738000000001,,380,Marlborough Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-912s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Evonify,CorpGroup8,{'212359760.0': 1},False,236.0,42.345659999999995,-71.09561,,200,Ipswich Street,,Back Bay,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,,,Shell,,,,,,,,,,,,,unknown (too few),,,,False
3-4s,1,1,{'988180': 1},{'Not found (fabricated)': 1},,{'88 Alleghany ST 10 Mission Hill MA 02120': 1},Sonder,CorpGroup5,{'224829568.0': 1},False,321.0,42.35609,-71.06199000000001,,,,,Financial District,Boston,Suffolk County,Massachusetts,,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-48s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,120.0,42.349540000000005,-71.07032,,,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,Armory of the First Corps of Cadets,,,,Eugene T. Zanni Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-256s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,137.0,42.34908,-71.06860999999999,,42,Melrose Street,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,,,,,Park Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-913s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,221.0,42.34616,-71.07907,,41,Saint Botolph Street,,Back Bay,Boston,Suffolk County,Massachusetts,02199,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-87s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'244600805.0': 1},False,314.0,42.34946,-71.06915,,45,Winchester Street,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,,,,,Park Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-806s,1,1,{'Missing': 1},{'No license claimed': 1},,{},STARS,CorpGroup16,{'31340713.0': 1},False,110.0,42.336999999999996,-71.15063,,126,Englewood Avenue,,Brighton,Boston,Suffolk County,Massachusetts,02445-5841,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-119s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,314.0,42.34925,-71.06885,,14,Edgerly Place,,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,,,,,Park Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-64s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Teresa & Jonathan,299340250,{'nan': 1},False,39.0,42.32248,-71.07072,,27,Clifton Street,Uphams Corner,South End,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-65s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Venn,277913848,{'nan': 1},False,206.0,42.35221,-71.0639,,,Boylston Square,Chinatown,Beacon Hill,Boston,Suffolk County,Massachusetts,02111,United States of America,us,40 Boylston,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-6s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Evonify,CorpGroup8,{'212359760.0': 1},False,131.0,42.342290000000006,-71.0828,,78,Albemarle Street,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-66s,1,1,{'405822': 1},{'Active': 1},,{'1 Torpie ST 10 2 Mission Hill MA 02120': 1},Colby,281602481,{'nan': 1},True,99.0,42.334740000000004,-71.10308,,698,Huntington Avenue,,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-245s,1,1,{'405822': 1},{'Active': 1},,{'1 Torpie ST 10 2 Mission Hill MA 02120': 1},Colby,281602481,{'nan': 1},True,99.0,42.33294,-71.10358000000001,,1600,Tremont Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-461s,1,1,{'405822': 1},{'Active': 1},,{'1 Torpie ST 10 2 Mission Hill MA 02120': 1},Colby,281602481,{'nan': 1},True,99.0,42.33294,-71.1029,,1,Torpie Street,,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-49s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Sonder,CorpGroup5,{'224829568.0': 1},False,143.0,42.3583,-71.05389,,,Central Street,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02109,United States of America,us,Insurance Exchange Building,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-146s,1,1,{'101724': 1},{'Not found (fabricated)': 1},,{'284 Cambridge ST 05 1 Boston MA 02114': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,130.0,42.3491,-71.06954,,121-127,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,Eugene T. Zanni Square,,,Arlington Street Lot,,,,,,,,,,,,,unknown (too few),,,,True
0-67s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Sherwin,201935605,{'nan': 1},False,36.0,42.2919,-71.12181,,4012,Washington Street,Roslindale,Jamaica Plain,Boston,Suffolk County,Massachusetts,02131-3025,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-460s,1,1,{'Missing': 1},{'No license claimed': 1},,{},STARS,CorpGroup16,{'266312920.0': 1},False,110.0,42.33892,-71.15163000000001,,114,Strathmore Road,,Brighton,Boston,Suffolk County,Massachusetts,02445-5841,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-88s,1,1,{'986025': 1},{'Not found (fabricated)': 1},,{'27 Maverick SQ 01 1 Boston MA 02128': 1},Sonder,CorpGroup5,{'224829568.0': 1},False,174.0,42.35147,-71.06394,,45,LaGrange Street,Chinatown,Beacon Hill,Boston,Suffolk County,Massachusetts,02111,United States of America,us,AVA Theater District,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-246s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jihane,CorpGroup39,{'293373619.0': 1},False,43.0,42.34418,-71.1544,,99,Chestnut Hill Avenue,Aberdeen,Brighton,Boston,Suffolk County,Massachusetts,02135-3202,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-68s,1,1,{'411170': 1},{'Expired/Void/Revoked': 1},,{},Ana,247324615,{'nan': 1},False,206.0,42.3793,-71.02948,,409,Saratoga Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-170s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,126.0,42.34806,-71.06868,,,Marginal Road,Chinatown,South End,Boston,Suffolk County,Massachusetts,02284-6028,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-69s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Ramanvir,16541124,{'nan': 1},False,150.0,42.28374,-71.13211,,74,Albano Street,Mount Hope,West Roxbury,Boston,Suffolk County,Massachusetts,02131,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-67s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Evonify,CorpGroup8,{'212359760.0': 1},False,149.0,42.34215,-71.08337,,352,Massachusetts Avenue,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,Susan S Bailis Assisted Living,,,,,,,,,,,,,unknown (too few),,,,False
0-807s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Mac,CorpGroup38,{'26704689.0': 1},False,70.0,42.33607,-71.05451,,40,Baxter Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-914s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Mac,CorpGroup38,{'26704689.0': 1},False,60.0,42.33615,-71.0534,,112,West Seventh Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-215s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Blueground,CorpGroup3,{'107434423.0': 1},False,155.0,42.35003,-71.08175,,227,Newbury Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Block E,,,,,,,,,,,,,,unknown (too few),,,,False
0-915s,1,1,{'413138': 1},{'Active': 1},,{'16 Hubbardston RD 13 2 Dorchester MA 02125': 1},Frank,310681680,{'nan': 1},False,69.0,42.30905,-71.05234,,79,Springdale Street,Savin Hill,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-673s,1,1,{'Missing': 1},{'No license claimed': 1},,{},STARS,CorpGroup16,{'266312920.0': 1},False,119.0,42.35373,-71.08103,,,Back Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-674s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Jihane,CorpGroup39,{'293373619.0': 1},False,42.0,42.342079999999996,-71.15436,,163,Chestnut Hill Avenue,Aberdeen,Brighton,Boston,Suffolk County,Massachusetts,02135-3202,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-70s,1,1,{'413706': 1},{'Active (limit exceeded)': 1},listing,{'2 Faulkner CIR 16 Apt 2 Dorchester MA 02122': 1},Maria & Kevin,CorpGroup40,{'39266840.0': 1},False,447.0,42.30056,-71.0627,,23,Charles Street,Fields Corner,Dorchester,Boston,Suffolk County,Massachusetts,02122,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-5s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Evonify,CorpGroup8,{'212359760.0': 1},False,186.0,42.35112,-71.06315,,1,Stuart Street,Chinatown,Beacon Hill,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,,,,Phillips Square,,,Boston Kitchen Pizza,,,,,,,,,,,,,unknown (too few),,,,False
9-290s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,131.0,42.34894,-71.06864,,42,Melrose Street,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,,,,,Park Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-193s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,120.0,42.3494,-71.06868,,,Winchester Street,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,New England Law Boston,,,,Park Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-216s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,130.57,42.34944,-71.07095,,,Columbus Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02117,United States of America,us,,,,,Eugene T. Zanni Square,,,Da Vinci,,,,,,,,,,,,,unknown (too few),,,,True
9-236s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Blueground,CorpGroup3,{'107434423.0': 1},False,125.0,42.3639,-71.05206,,,Callahan Tunnel,,North End,Boston,Suffolk County,Massachusetts,02113,United States of America,us,,,,,,,,,,Maverick Landing,,,,,,,,,,,unknown (too few),,,,False
9-237s,1,1,{'101723': 1},{'Not found (fabricated)': 1},,{'81 Sydney ST 13 3 Dorchester MA 02125': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,130.0,42.34912,-71.07185,,157,Berkeley Street,,Back Bay,Boston,Suffolk County,Massachusetts,02117,United States of America,us,Liberty Mutual Tower,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-808s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Steven,CorpGroup17,{'275849638.0': 1},False,219.0,42.34787,-71.09397,,,Massachusetts Turnpike,Audubon Square,Back Bay,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-71s,1,1,{'420570': 1},{'Exempt (verified)': 1},,{'28 CONSTITUTION RD 02 Boston/Charlestown MA 02129': 1},Melissa,92691757,{'nan': 1},False,316.0,42.370670000000004,-71.05981,,28,Constitution Road,Waterfront,Charlestown,Boston,Suffolk County,Massachusetts,02129,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-72s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Ann,CorpGroup19,{'41932249.0': 1},False,45.0,42.32555,-71.08275,,160,Warren Street,Nubian Square,Roxbury,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-247s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Sherwin,201935605,{'nan': 1},False,38.0,42.29188,-71.12174,,4012,Washington Street,Roslindale,Jamaica Plain,Boston,Suffolk County,Massachusetts,02131-3025,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-463s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Henry,271849582,{'nan': 1},False,143.0,42.37988,-71.02709,,404,Chelsea Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-7s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,171.0,42.34673,-71.07898,,110,Huntington Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,Boston Marriott Copley Place,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-120s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Sonder,CorpGroup5,{'224829568.0': 1},False,250.0,42.35722,-71.05375,,2,Oliver Street,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,Two Oliver Street,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-50s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Evonify,CorpGroup8,{'212359760.0': 1},False,157.0,42.33875,-71.07471,,,Rutland Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,Rutland/Wash St Comm Garden,,,,,,,,unknown (too few),,,,False
9-171s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Sonder,CorpGroup5,{'224829568.0': 1},False,176.0,42.35822,-71.05438000000001,,41;45,Broad Street,Dock Square,Financial District,Boston,Suffolk County,Massachusetts,02109,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-73s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Nick,122568097,{'nan': 1},False,85.0,42.3244,-71.09486,,55,Beech Glen Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-74s,1,1,{'418154': 1},{'Active': 1},,{'41 Gleason ST 14 1 Dorchester MA 02121': 1},Lee,227889113,{'nan': 1},False,300.0,42.29939,-71.08294000000001,,20,Page Street,Mount Bowdoin,Dorchester,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,True
9-274s,1,1,{'372821': 1},{'Not found (fabricated)': 1},,{'131 N ST 06 South Boston MA 02127': 1},Bay Village,CorpGroup6,{'285344759.0': 1},False,107.0,42.349140000000006,-71.06954,,128,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,Eugene T. Zanni Square,,,,,,,,,,,,,,,,unknown (too few),,,,True
0-248s,1,1,{'Missing': 1},{'No license claimed': 1},,{},AAA Homestays,285904748,{'nan': 1},False,40.0,42.30921,-71.08688000000001,,40,Schuyler Street,Mount Bowdoin,Dorchester,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-68s,1,1,{'STRHS': 1},{'Exempt (not verified)': 1},,{},Luxury Medical Suites,300941849,{'nan': 1},False,196.0,42.349309999999996,-71.08188,,,Public Alley 441,,Back Bay,Boston,Suffolk County,Massachusetts,02199,United States of America,us,,,,,,,Block E,,,,,,,,,,,,,,unknown (too few),,,,False
